Comment,detected_language,translated_text
සමහර කමෙන්ට් දාපු අය මේ ගැනත් හිතලා බලන්න 1 හයර් එක මුලින්ම දාන්නේ කෑෂ් මගදි කාඩ් හයර් එකක් බවට හරවනවා එතකොට කාඩ් හයර් වල තියෙන ගැටලුව කියන්නම් කාඩ් හයර් එකක් කරපු ගමන් රියදුරුට මුදල් ලැබෙන්නේ නෑ පැයකට ආසන්න කාලයක් යනවා මුදල් ගිණුමට බැරවෙන්න ඒ වගේම තමයි සමහර මගින් කාඩ් මගින් ගෙවීම් කරන්න දැම්මට කාඩ් එකේ මුදල් නැතුව ගෙවන්න බැරිවෙන අවස්ථා තියෙනවා 2 සමහර හයර් ලබාදෙන මගියා එම ස්ථානයේ නොමැතිව වෙනත් අයකු රැගෙන ඒමට හයර් ලබාදෙන අතර පිකප් කරගන්නා ස්ථානය අදාල ස්ථානය නොවන අතර එම අදාල ස්ථානයේ සිටින මගියා සම්බන්ධ කරගැනීමටද හැකියාවක් නැත 3 සමහර හයර් ලබා ගැනීමට කිලෝ මීටර 3 වැඩි දුරක් ගෙවා ගොස් හයර් කිරිම කිලෝ මීටර 3 එවිට ලැබෙන මුදල රුපියල් 209 එයින් රැපියල් 20 ඇප් එක බාවිතා කිරීම සදහා අය කරන අතර මගින්ගේ රක්ෂණය සදහා ශත 50 ක මුදලක්ද රුපියල් 209 මුදලින් අමතරව 12 කොමිස් මුදලක්ද අය කරනු ලබන අතර රියදුරන්ට ලැබෙන මුදල් රුපියල් 165 4 සමහර මගින් 5 දෙනා ගමන් කිරිමට පැමිණෙනු ලැබේ 5 භාණ්ඩ ප් ‍ රවාහනය සදහා මගියා නොමැතිව අදාල ස්ථානයට ගොස් භාණ්ඩ රැගෙන යායුතු අතර එය මගින් රැගෙන යන සාමන් ‍ ය ඇප් එක මගින් ක් ‍ රියාත්මක කරනු ලබන අතර ඇප් එක ඒ සදහා භාවිතා කරනු නොලබයි භාණ්ඩ පැටවීම බෑමද රියදුරු විසින් කල යුතුය 6 පිකප් ලොකේෂන් එක මගට දාලා මගියා නංවා ගැනීමට වැඩි දුරක් යායුතුයි සමහර මගින් නංවා ගැනීමට විනාඩි 10 වැඩි කාලයක් පිකප් ලොකේෂන් එකටවී බලා සිටිමටද සිදුවේ,sin,Some commenters also think about this. One of the first things that the card has to do is to convert the card into a card card card. The problem with the card has to be that the card has to be deleted. It takes about an hour to get the card into the bank account. And some people can't pay without the card.
මේක me වල තියෙන ලොකු ප් ‍ රශ්නයක් යන්නේ රජයේ මහාමාර්ගවල හැබැයි ඇප් එකට කියලා 12 කපා ගන්නවා ඊට පස්සෙ පාරිභෝගිකයාට මේ වගේ අතරතැබ්බ වලට මූන දෙන්න වෙනවාමේ සම්භන්ධයෙන් pick me ආයතනය වගකිව යුතුයි,sin,This is a big problem with me going on public roads but the app cuts 12 and then the customer has to face these kind of bumps and bumps and pick me up is responsible for this.
වාහන card එකෙන් pay කරන්නේ කිව්වම එන්නෙ නෑනේ ඇයි ඒ ඒක වැරැදියි pay කරන්නේ කොහොමද කියල තීරණය කරන්න passengerට අයිතියක් තියෙනවා,sin,The passenger has the right to decide how to pay.
has to address this issue we should stop using pickme and use an alternate serviceI have faced the same situation with the pick me driver that refused to accept my card payment මේ අඩුමාණසිකයන් දන්නැද්ද account එකට සල්ලි අවහම ගන්න විදිහ,eng,has to address this issue we should stop using pickme and use an alternate serviceI have faced the same situation with the pick me driver that refused to accept my card payment මේ අඩුමාණසිකයන් දන්නැද්ද account එකට සල්ලි අවහම ගන්න විදිහ
නිලී කම පොත්තේ සුද බල්ලාට දැම්ම ඒ බුදූ අයියාට ජාතියේ ප් ‍ රනාමය තව චුටක් වේලා ගියානම් දබුල්ලේ පාට් 2 බැහැපම් ඔට්ටී බ්මට දෙන්නේ කන පැලේන්න වගේ සීන් එකක් බලාපොරොත්තු වේන්න තිබුනා අපිට,sin,"If Blue Cutter had put the white dog in the book, the Buddha brother would have been a little late for the national title, and we would have expected a scene like a blowjob."
B දාලා බහින්න ලන් වෙද්දී card වලට හැරෙව්වනම් ඔයා එතන කලේ කැත වැඩක් මොකද ඔයා දන්නවා card උනොත් වාහන එන්නේ නෑ කියලා ඒ නිසා ඔයා එහෙම කලා ඒකයි ඔතන ඇත්ත කතාව ඔහොම සුදු නෝනලා දවසට සෑහෙන්න ප් ‍ රමානයක් හම්බෙනවා පාරෙදී අපිට ර respect පිට card ම දාන්නකෝ මුලින්ම දාලා වාහනේන් කෝල් කලාම කියන්න card කියලා ඌ එනවනම් එයි නැත්තන් වෙන එකක් එයි හැම වාහනේම card hire නොගෙන ඉන්නේ නෑ ගන්න වාහන තියෙනවා ගොඩක් වෙලාවට කොල්ලෝ උදේට තෙල් ගහගන්නේ පලවෙනි ට් ‍ රිප් එකෙන් එක card උනොත් කොල්ලා අමරුවේ වැටෙනවා ඔය කොල්ලට උනෙත් ඒ වගේ සීන් එකක් වෙන්න පුලුවන් පොඩ්ඩක් ඒ පැත්තෙනුත් ඔය නෝනලා හිතන්න,sin,"If you put B on the card and you turned it off, you did a nasty thing because you know that if you had a card, cars wouldn't come, so you did it. That's the real story."
මලී වල්පොල රුපියල් 700 ක් නෑ කියලා කියන්න බැරි නිසා රගපාලා පෙන්වන්නේ පොඩ්ඩක් තේරුම් ගනිම්ලකෝ,sin,"You can't say that Mali Valpolla doesn't have 700 rupees, so you can play the part of a little bit of understanding."
100 ය ගානේ එකතු කරලා මේකිට කාර් එකක් අරන් දෙමු බන්අවුරුදු 6ක්ම පික්මී ගිහින් තියෙන්නේ ඒ සල්ලී වලින් වාහනයක් ගන්න තිබ්බනේඋදේ පාන්දරම අරුගේ හයර් එක වීනාශ කෙරුවාපවු කොල්ලා,sin,"We'll get her a car and give her a hundred bucks. Six years ago, we had to buy a car with that money."
ඕකට හොද පාඩමක් උගන්නන්නත් එක්ක ඕකව අල්ලන් ඔයා හදන ක් ‍ රීම් එක ගාන්න එතකොට ආපහු කවදාවත් මේ මිනිහ මේ වගේ කැත වැඩක් කරන එකක් නෑ,sin,Teach her a good lesson and hold her and put on the cream you're making so this guy never does something like this again.
නැති පැතිවල උන්ගෙ දැක්කම ආස හිතෙනවා එකෙන් එකක් දීල තියෙන්නෙ පාවිච්චි කරන්න පුළුවන් නිසානෙ අනිත් එක කාඩ් එකෙන් කැපෙන්නෙත් සල්ලිනෙ හදිසියට ගමනක් යන්න ගියාම හයර් එක ගන්න එකා පට්ට වාතයක් වෙනවා කෝල් කර කර ද ද කොහෙද යන්නෙ කියාගෙන මුන් වලට පොලු තියල බාරගන්නෙ නෑ කැපෙන නිසා දැන් ඉතින් වැලලෙන්න හදයි ගෙවන්නෙ නෑ අරකයි මේකයි කියල ගෙවන්නෙ නැත්තම් දෙකම අයින් කරල දාල පාර අයිනට වෙලා වේලෙන්න පුළුවන් නැත්තම් වෙන රස්සාවක් හොයාගන්න පුළුවන් හම්බකරගෙන එකට පොලු තියලා තව රට හදන්නත් කථා කරනවා එක යන ගමන්,sin,And they like to see the one side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can use the other side because they can get the other side
කරනවද අහල ගැහුවද එහෙම ප් ‍ රශ්න තියෙනවා පික්ම් වල ඒකට කරන්න ඕනේ පික්ම් එක බුක් කරල එන්න කලින් එයාල කෝල් කරනවනෙඑතකොට කියන්න කෑෂ් නෑ කාඩ් පේමන්ට් කියල එතකොට කාඩ් පේමන්ට් නැත්නම් ඒක කැන්සල් කරල වෙන එකක් බුක් කරන්න නැත්නම් හොදම දේ පික්ම් එකක යනව නම් කලින්ම කෑෂ් ලග තියාගන්න මොකද ගොඩාක් වෙලාවට කොලබ උනත් කාඩ් පේමන්ට් නෑ තිබ්බත් වැඩකරන්නෙ නෑ මේක ලන්කාවනෙ හැම එකටම කෑෂ් උස්සන් යන්න ඕනේ කාඩ් එකෙන් ෆෝන් එකෙන් ස්මාර්ට් වොච් එකෙන් පේමන්ට් කරන්න බෑ ඒක හරිම කනගාටුදායකයි ඒ වගේම පික්ම්ත් කියන තරම් හොද නෑ හැමෝම එයාලට අපි කියන තැනින් අපිව පික් කරන්න බෑ මහ අව්වෙ දාඩිය පෙරාගෙන පයින් ඇව්දන් යන්න ඕනේ එයාල කියන තැනට මොකද වීල් පාක් තියෙනවා කියල ගහන්න මරන්න එනවලු ඔව් ඒක ඇත්ත පික්ම් හයර් යන්නෙ නැති අනිත් රියදුරන් එහෙම කරනව ඒත් එහෙම පික්ම් හයර් යන්නෙ නැති රියදුරන් දැනගන්න ඕනේ රන්ඩු නොකර ඉන්න අපි හයර් කරන්නෙ අපිට ඕනේ අපිට පහසු ලාබදායී සේවයක් ම්ස එයාලට ඕනේ එව නෙවෙයි කියල ඒක අපේ අයිතියක් කියල ඒත් නූගත් රියදුරන් ඒක තේරුම් ගන්නෙ නෑ පික්ම් අයත් සමහර වෙලාවට අපිට සද්දෙ දානවා අපි වැඩ්පුර ඉතුරු වෙන එකත් දීල බැහැල යනව ගොඩාක් වෙලාවට ඒත් හොද පික්ම් රියදුරු මහතුනුත් ඉන්නව ගොඩාක් වෙලාවට ඒවා එයාලව දැනුවත් කිරීම් කරනව නම් හොදයි ආදාල ආයතන,sin,"You know, there's a question about Picam that they have to do before they book a Picam, and they call and they say no cash, and then they cancel a card payment, and then they cancel a card payment, and then they cancel a card payment, and then they cancel a card payment, and then they cancel a card payment, and then they cancel a card payment, and then they cancel a card payment, and then they cancel a card payment, and then they cancel a card payment, and then they cancel a card payment, and then they cancel a card payment, and then they cancel a card payment, and then they cancel a card payment, and then they cancel a card payment, and then they cancel a card payment, and then they cancel a card payment, and then they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card payment, and they cancel a card, and they cancel a card, and they cancel a card, and they cancel a card, and they cancel a card, and they cancel a card, and they cancel a card, and they cancel a card, and they cancel a card, and they cancel a card, and they cancel a card, and they cancel a card, and they cancel a card, and they cancel a card, and they cancel a card, and they cancel a card, and they cancel a card, and they cancel a card, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel a, and they cancel, and they cancel a, and they cancel a, and they cancel a, and they cancel, and they cancel a, and they cancel, and they cancel, and they cancel, and they cancel, and they cancel a, and they cancel, and they cancel, and they cancel, and they cancel, and they cancel, and they cancel, and they cancel, and they cancel, and they cancel, and they cancel, and they cancel, and they cancel, and they cancel, and they cancel, and they cancel, and they cancel, and they cancel, and they cancel, and they cancel, and they cancel, and they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they' they"
when u require hire the you stable on cash while you riding changing in to credit or debit think that you all going ride with taxi with out playing hence credit card holder got 55 days to pay but tuk driver suffer,eng,when u require hire the you stable on cash while you riding changing in to credit or debit think that you all going ride with taxi with out playing hence credit card holder got 55 days to pay but tuk driver suffer
K දාලා තිබ්බා නම් cash දීපන්,sin,"If you had K, give me cash."
මෙතන කවුරු මොනව කිව්වත් කස්ටමර් තමයි හරි…ඇප් එකේ එකක් තියෙන්නේ කහනවට නෙමෙයි…අපේ උන් ඔලුව හදාගෙන තියෙන්නේ කෑෂ් වලට තමයිකාඩ් වලට ගියාම සල්ලි එන්නෙ නෑලු… කරපුවම දවස් දෙක තුන යනවලුඒ සීන් එක වෙන්නේ HNB එකවුන්ට් වලටඅනිත් ඒවට වෙන්නේ 95 ක් වගේ…ඉන්දියාවෙනම් පේමන්ට් කඩවලත් ගූගල් පේ තියෙනවා,sin,"Whatever the case is, the caster is right, the app is not for cash, we've got cash in our heads, and the cards don't pay, and it takes two or three days to get to the bank account, and the other 95 days, and there's Google Pay in Indian and Indian stores."
therena wdyata meh gani yanda ona hnda boruwata cash nethuwa cash kyala dala tynne aurudu 6 k experience ekn card walata convert krala anika nagapu gaman ahannwane cash da card da kyala card kyala kiuwwanm meh ganiwa meka dala yannwa ehinda aurudu 6 ka experince eka use krala cash kiuwwa eccharai saralai niliyak kyala danneth dan,eng,therena wdyata meh gani yanda ona hnda boruwata cash nethuwa cash kyala dala tynne aurudu 6 k experience ekn card walata convert krala anika nagapu gaman ahannwane cash da card da kyala card kyala kiuwwanm meh ganiwa meka dala yannwa ehinda aurudu 6 ka experince eka use krala cash kiuwwa eccharai saralai niliyak kyala danneth dan
akki samahara location ekata enne nathuwa magata wela idala apiwa payak withara rasthiyadu karala u ita passe awilla kiyanawa man ahawal thana hitiye wena eheka yanna kiyala call karata p eka ussanneth na hari kiuwoth baninawa ita passe u call love karannath enawa ehema anantha innawathawa innawa gaman call karala kiyanawa me dennek innawa hari hari me ena gaman kiyala thawa gaman katha karanawa man mini marala pathale wada karanne na kiyalawanacharayo kupadiyo ehema me wage wahi wahala munwa pick me ekata danum dila unta pick me thahanam karanna oni nathtam me wage yanna minissu baya wenawa,eng,akki samahara location ekata enne nathuwa magata wela idala apiwa payak withara rasthiyadu karala u ita passe awilla kiyanawa man ahawal thana hitiye wena eheka yanna kiyala call karata p eka ussanneth na hari kiuwoth baninawa ita passe u call love karannath enawa ehema anantha innawathawa innawa gaman call karala kiyanawa me dennek innawa hari hari me ena gaman kiyala thawa gaman katha karanawa man mini marala pathale wada karanne na kiyalawanacharayo kupadiyo ehema me wage wahi wahala munwa pick me ekata danum dila unta pick me thahanam karanna oni nathtam me wage yanna minissu baya wenawa
kenkta aythiyak thiyenwa thamnta kamthi pahasu payment option ekak thora ganna eka customer hier ekak ok krama driverta pennanne na anith eka payment option eka wenas kranna kiyanna klin a manussayta athe salli thiyenwada nadda kiyala api dannwada driverslta pickme app eka haraha hiers set krala dena ekaeyala dana ganna one thamnta eka hriyanne nthnm eka nokara cash hiers kohe hri gihin hoyan kranna ekata pickme customersla pali na pickme ubers yanwa mehema driversla idala hitala innwa samahara minissu innwa thamnge job 1a hriyatama krana mehen mehema un innwa eka driver kenkta me app haraha thamn job karanwanm eyalta aythiyak na call krala ahanna koheta yanne cashda carda kiyala eyalta thiyennw adala location ekataawith pickup kra ganna ahanwa hier eka aran cancel krala yamuda kiyala minissu ekka ehema yanna puluwanda hri unoth ekata pickme or uber waga kiyanne na ita passe anith eka samahara welwata hier eka aragena enne na un cancel kranneth na api cancel krta passe eka apita padui ekko aphu hiers set wenne na bad reviews profile ekak wenne ita passe anith eka drivert aythiyak na ehema magin bassannakawuru unath kellek eyath eya kawuda kiyanna apita adala na kellek api hier yana hama location ekakma thmange hometown eka wage danne nane eka hama location ekatama pickme uber wada kranneth na kraath samahara welwata driverta pick kra ganna thiyena location dura wadinam eyala cancel kranwa cancel nokara api cancel krankan blan innwa driversla kranna uber pickme dekama duwanwa hier eka aran cancel kranna brimm anith eken heirs arn duwanwa cancel krankanma innwa paduwata kranwa qwth eyala eka nawaththanne nane hethuwa aththatama padu nathi nisa,eng,kenkta aythiyak thiyenwa thamnta kamthi pahasu payment option ekak thora ganna eka customer hier ekak ok krama driverta pennanne na anith eka payment option eka wenas kranna kiyanna klin a manussayta athe salli thiyenwada nadda kiyala api dannwada driverslta pickme app eka haraha hiers set krala dena ekaeyala dana ganna one thamnta eka hriyanne nthnm eka nokara cash hiers kohe hri gihin hoyan kranna ekata pickme customersla pali na pickme ubers yanwa mehema driversla idala hitala innwa samahara minissu innwa thamnge job 1a hriyatama krana mehen mehema un innwa eka driver kenkta me app haraha thamn job karanwanm eyalta aythiyak na call krala ahanna koheta yanne cashda carda kiyala eyalta thiyennw adala location ekataawith pickup kra ganna ahanwa hier eka aran cancel krala yamuda kiyala minissu ekka ehema yanna puluwanda hri unoth ekata pickme or uber waga kiyanne na ita passe anith eka samahara welwata hier eka aragena enne na un cancel kranneth na api cancel krta passe eka apita padui ekko aphu hiers set wenne na bad reviews profile ekak wenne ita passe anith eka drivert aythiyak na ehema magin bassannakawuru unath kellek eyath eya kawuda kiyanna apita adala na kellek api hier yana hama location ekakma thmange hometown eka wage danne nane eka hama location ekatama pickme uber wada kranneth na kraath samahara welwata driverta pick kra ganna thiyena location dura wadinam eyala cancel kranwa cancel nokara api cancel krankan blan innwa driversla kranna uber pickme dekama duwanwa hier eka aran cancel kranna brimm anith eken heirs arn duwanwa cancel krankanma innwa paduwata kranwa qwth eyala eka nawaththanne nane hethuwa aththatama padu nathi nisa
has become a real problem with soon as you book a ride the driver wants to know if its a cash or card payment times the driver refuses to come if it card payment,eng,has become a real problem with soon as you book a ride the driver wants to know if its a cash or card payment times the driver refuses to come if it card payment
මොනතරම් පීඩනේකින්ද මිනිස්සු ජීවත් වෙන්නේ කියලා තේරෙනවා මේ ගෑණු ළමයා කවුද කියලා මම දන්නේ නෑ හැබැයි මිනිසුන්ට තියෙන ප් ‍ රශ්නේ මේළමයා සුදු උන එක ‍ වර්ණ භේදය තියෙන්නේ මෙහෙනේ බලාගෙන යනකොට කෑශ් හෝ කාඩ් වේවා සල්ලි ලැබෙනවනම් එච්චරයිනේ අනික uber pickme ආයතන උනත් මේ වගේ මිනිසුන්ට හයර් දෙන්න හොද නෑ ඔය වැඩේ මට කිහිපසැරයක්ම උනා ඒ දැනෙන අපහසුතාව හොදට අත්විදලා තියෙනවා අමතක නොවන දඩුවමක් දෙන්න ඕන driver ට,sin,"I don't know who this girl is, but the problem with people is that they're getting white, and they're getting cash or credit cards, and that's all."
ever was t issue I hope she is OKbecause he got off the tuk knowing she was videoing himthis card cash thing had become a real problemsometimes when u have to go out on some important matter and u wait for themthen they call ask if cash or card if u say card they cancel the bookingthen there are times to cant get another,eng,ever was t issue I hope she is OKbecause he got off the tuk knowing she was videoing himthis card cash thing had become a real problemsometimes when u have to go out on some important matter and u wait for themthen they call ask if cash or card if u say card they cancel the bookingthen there are times to cant get another
නදීෂා රුවන්මාලි ජයසිංහ පියුමිගෙත් අතේ රුපියල් 700ක් නෑ කියන්නේ අපි ගැන කවර කතාද බං,sin,And Nadisha Ruannamali Jaisinga Pyumy has no Rs 700 in his hand.
ඇත්ත කියන්න ඒ මනුස්සයා ඔයාව පඩේකටවත් ගනන් ගත්තෙ නැති එකේ වේදනාවට නේද මේක දැම්මේ හොද වැඩේ,sin,"Tell me the truth, that guy didn't even consider you a pawn."
කාඩ් හයර් ගියාම සියට 15ක් අපෙන් කපලා තමයි ඉතුරු දෙන්නේ ඒකත් කෑස් දූපු හයර් වල සියට 15 එකතු ගෙවන්න තියෙනවා නම් ඒකත් කපලා තමයි දෙන්නේ බලන්න ගියම අපේ අතට සල්ලි ලැබෙන්නේ නෑ කාඩ් පේමන් හයර් ගියාම පන්සියට අඩු ගාණක් අපේ එකවුන්ට් එකට හරවන්න බෑ තේරුම් ගන්න අපේ දුක අනික කාඩ්වල කෝටි ගණන් තිබුනට වැඩක් නෑ අතේ සල්ලි නැත්තං අපේ මතේ හැටියට ඉගන්නෙක්,sin,"When the card goes off, it cuts 15 cents a year off us and it's the same as if we had to pay 15 cents a year off Cash Island."
me දුවන කෙනෙක් එක්ක පොඩ්ඩක් කතා කරල බලාම් යන එන ගමන් එතකොට දැනගන්න පුලුවන් ඒ මිනිස්සු කන කට්ට payment කරන් නෑ ගොඩක් අය pick me එක දාපු ගමන් අහනව card ද cash ද කියල cash ගන්න හේතුව card payment බැරුව නෙවෙයි card payment කරාම එයාලට තෙල් ගහගන්නවත් ඉතුරු වෙන් නෑ ඒ මිනිස්සු lord අරන් තියෙන ඒවට හම්බ කරන හැම සතයක්ම කැපෙනව වාහනේ දුවාගන්න තෙල් ගහගන්නවත් අවසානෙට නෑ අනික මානුෂීය වෙන්න අනිත් කෙනාගෙ තත්වෙ නොදැන වැරදි කාරයෙක් කරන්න හදන්න එපා මෙ වැඩෙන් ඒ මනුස්සයට ආයෙ pick me එකක්වත් දුවාගන්න බැ රෙකෝඩ් කරල දැම්මම මහ ලොකු වැඩක් කියල හිතල මේකෙ උන් පුම්බල පෙන්නුවට ඒ මනුස්සයගෙ ගෙදර අය දවස ගෙවාගත්ත කීයක් හරි තමයි මේ නැති කරෙ very disappointed මන් මෙහෙම comment කරන කෙනෙක් නෙවෙයි දැම්මෙ තව කෙනෙක් උනත් influence නොවෙන්න ඔලුවට පොඩ්ඩක් දාගන්නයි පව් එ මිනිස්සු,sin,I'm going to talk to a guy who runs and find out if they're not paying cash or cash. Most people ask me when they pick me up. They don't get cash or credit card payments. They don't get any more money.
පික්මී දුවන යාළුවන්ට කියන්නේ මචං උබලා දවසම ඔය පීක්මී එකේ වාහනේ තරී ගෙනකන් දුවන්න එපාඕනැ තරම් පරේ හයාර් තියෙනවා හෙට ඉඳන් pick me එකෙක්වත් දුවන්න එපා pickmeදියුවොත් මචං අපි හිඟන්නෝ වෙනවා උබල කල්පනා කරලා කල්පනාකරලා බලපන් ඔය ඇප් එකේ පෙන්නන්නේ km15 උඩ මීටර් එක දාගන යන්න බලන්න km 18tiyenawa එතකොට අපට ඔඋන් ගෙවන්නේ රු45,sin,"Pickme's friends are saying, ""Hey, you guys don't have to ride that pickup all day long, you've got a lot of hair to get out of your car, and you're gonna have to pick me up tomorrow, and you're gonna have to pick me up, and we're gonna have to wait."
unata kathai hire ekak kiyala gennala eka card walata maru karapu eka ude pandara hire ekak duwala athata keeyak wath enne nathi unama uta awul eka sadaranai hithan inne u hire duwanne samaja sewayak karanna kiyalada U hire eka gaththe cash hinda methana boruwata show ekak danawa,eng,unata kathai hire ekak kiyala gennala eka card walata maru karapu eka ude pandara hire ekak duwala athata keeyak wath enne nathi unama uta awul eka sadaranai hithan inne u hire duwanne samaja sewayak karanna kiyalada U hire eka gaththe cash hinda methana boruwata show ekak danawa
SL manjula video කමනට් බලන්න අපු ඔයාට මාගානේ රසම රස තේ එකාක්,sin,You'll have a delicious tea from Magna.
… PickMe what is this can’t you address this issue drivers always asking for cash never gets change can’t they realize the funds and get money from ATM,eng,… PickMe what is this can’t you address this issue drivers always asking for cash never gets change can’t they realize the funds and get money from ATM
or card කියලා option දෙකක් තියෙන්නේ customer ඒ දෙකෙන් එකක් පාවිච්චි කරන්න එකෙන් customer දීලා තියෙන පහසුකම් දන්නේ නැතිව hire එක ගන්න විතරක් ගන්න මේකට එකතු වෙනවා ඊට පස්සේ වැළලෙන හදනවා මුන් ඔක්කොම card වලට අනුගත වෙනකල් මෙහෙම කරන්න ඕනා අපේ උන් ඔක්කොම තමන්ගේ වාසියට විතරයි බැරි අයව pickme අයින් කරන්නේ ඕනා තාක්ෂනයත් එක්ක අනුගත වෙන අය විතරක් සේවය සපයන්න තියා ගන්න ට කතා කරන්න වත් දන්නේ නැහැ තමන් හම්බ කරන්න කන රස්සාවක් සුහදසිලිව කරන්න කලින්ම ඉගෙන ගන්න ඕනා,sin,"Or card is one of the two options that the customer uses to hire a customer without knowing what they're offered, and then they're just going to join in and then they're going to have to do this until they're all adapting to the cards, and we're going to have to get rid of the people who can't just use the technology, and we're going to have to keep the people who can't just use the technology, and we're going to have to keep the service, and we're going to have to talk to the people who can't even get a job, and we're going to have to learn to do it before we can get a job."
නැති බැරි එකාට තමා තමුන්ලගෙ ඔක්කොම සද්දමහලොකු නිලිය තමා වැරදි cash hire දාලා පස්සෙ card change කරල ඒ කොල්ලට සල්ලි අවශ් ‍ ය නිසයි මුලින්ම cash hire එක accept කරන්න ඇත් ‍ තෙ මහ ලොකු නිලියො ඒ උනාට මුන්ට මගක යද්දි 1000ක් අතේ නෑ එකත් කමක් නෑ යන ගමන් atm ඇතිනෙ ඕන තරම්,sin,The only one who can't is your whole world of blue is the wrong cash hire and then the wrong card change and the guy needs cash and then the big blue ones accept the cash hire first but they don't have a thousand on the way.
